TABLE dtl(l,i,j,cl)
					r	s	pmax	current	can	cost
l39	.	i37	.	i24	0.01	28.83	340	1	0	0
l40	.	i37	.	i34	0.01	63.09	637	1	0	0
l41	.	i38	.	i29	0.01	8.57	284	1	0	0
l42	.	i38	.	i34	0.01	100.7	637	1	0	0
l43	.	i38	.	i35	0.01	39.54	333	1	0	0
l44	.	i38	.	i37	0.01	66.14	1593	1	0	0
l45	.	i38	.	i64	0.01	60.61	988	1	0	0
l46	.	i38	.	i64	0.01	59.52	988	1	0	0
l47	.	i38	.	i84	0.01	52.44	358	1	0	0
l48	.	i38	.	i84	0.01	52.44	358	1	0	0
l49	.	i40	.	i18	0.01	64.94	1905	1	0	0
l50	.	i40	.	i83	0.01	303.03	2598	1	0	0
l51	.	i41	.	i16	0.01	11.36	438	1	0	0
l52	.	i41	.	i39	0.01	66.67	361	1	0	0
l53	.	i41	.	i43	0.01	333.33	438	1	0	0
l54	.	i41	.	i44	0.01	15.17	438	1	0	0
l55	.	i41	.	i75	0.01	370.37	335	1	0	0
l56	.	i42	.	i46	0.01	27.86	508	1	0	0
l57	.	i47	.	i45	0.01	30.31	325	1	0	0
l58	.	i50	.	i52	0.01	44.6	997	1	0	0
l59	.	i50	.	i73	0.01	44.6	997	1	0	0
l60	.	i52	.	i73	0.01	3125	784	1	0	0
l61	.	i54	.	i58	0.01	548.25	1905	1	0	0
l62	.	i55	.	i51	0.01	40	351	1	0	0
l63	.	i55	.	i53	0.01	40	351	1	0	0
l64	.	i57	.	i62	0.01	143.27	2252	1	0	0
l65	.	i58	.	i57	0.01	103.51	1905	1	0	0
l66	.	i59	.	i49	0.01	277.01	796	1	0	0
l67	.	i60	.	i68	0.01	75.76	912	1	0	0
l68	.	i60	.	i68	0.01	55.25	912	1	0	0
l69	.	i60	.	i68	0.01	53.48	912	1	0	0
l70	.	i61	.	i68	0.01	103.73	456	1	0	0
l71	.	i61	.	i68	0.01	103.73	456	1	0	0
l72	.	i63	.	i38	0.01	8.76	359	1	0	0
l73	.	i63	.	i75	0.01	11	359	1	0	0
l74	.	i64	.	i30	0.01	42.74	637	1	0	0
l75	.	i65	.	i66	0.01	36.36	1645	1	0	0
l76	.	i65	.	i85	0.01	1818.18	2598	1	0	0
l77	.	i66	.	i67	0.01	36.76	1386	1	0	0
l78	.	i66	.	i69	0.01	89.29	2598	1	0	0
l79	.	i66	.	i69	0.01	88.89	2598	1	0	0
l80	.	i66	.	i90	0.01	277.78	2400	1	0	0
l81	.	i67	.	i65	0.01	70.67	2598	1	0	0
l82	.	i69	.	i94	0.01	126.58	3421	1	0	0
l83	.	i70	.	i64	0.01	5.92	289	1	0	0
l84	.	i70	.	i71	0.01	10.79	289	1	0	0
l85	.	i71	.	i64	0.01	13.09	289	1	0	0
l86	.	i76	.	i63	0.01	13.53	304	1	0	0
l87	.	i77	.	i73	0.01	13.69	357	1	0	0
l88	.	i78	.	i79	0.01	3333.33	2500	1	0	0
l89	.	i78	.	i80	0.01	3333.33	2500	1	0	0
l90	.	i78	.	i90	0.01	628.93	2728	1	0	0
l91	.	i78	.	i90	0.01	628.93	2728	1	0	0
l92	.	i81	.	i247	0.01	4.8	402	1	0	0
l93	.	i82	.	i91	0.01	3333.33	2500	1	0	0
l94	.	i82	.	i92	0.01	3333.33	2500	1	0	0
l95	.	i83	.	i78	0.01	44.33	1636	1	0	0
l96	.	i83	.	i85	0.01	5000	3475	1	0	0
l97	.	i84	.	i27	0.01	37.99	341	1	0	0
l98	.	i84	.	i33	0.01	277.78	637	1	0	0
l99	.	i85	.	i90	0.01	39.68	1455	1	0	0
l100	.	i85	.	i90	0.01	39.68	1455	1	0	0
l101	.	i86	.	i89	0.01	5.68	447	1	0	0
l102	.	i93	.	i85	0.01	296.74	2252	1	0	0
l103	.	i97	.	i98	0.01	111.61	1931	1	0	0
l104	.	i97	.	i98	0.01	53.92	3634	1	0	0
l105	.	i97	.	i99	0.01	69.16	1931	1	0	0
l106	.	i98	.	i99	0.01	181.82	1931	1	0	0
l107	.	i99	.	i69	0.01	121.95	1848	1	0	0
l108	.	i99	.	i69	0.01	125.63	1848	1	0	0
l109	.	i99	.	i94	0.01	119.62	2079	1	0	0
l110	.	i100	.	i103	0.01	16.17	296	1	0	0
l111	.	i100	.	i103	0.01	16.17	296	1	0	0
l112	.	i101	.	i103	0.01	49.31	754	1	0	0
l113	.	i102	.	i103	0.01	49.31	754	1	0	0
l114	.	i104	.	i150	0.01	94.88	2823	1	0	0
l115	.	i105	.	i104	0.01	242.13	2788	1	0	0
l116	.	i106	.	i107	0.01	3333.33	3767	1	0	0
l117	.	i106	.	i157	0.01	65.96	3767	1	0	0
l118	.	i107	.	i142	0.01	21.39	3767	1	0	0
l119	.	i108	.	i109	0.01	3333.33	1594	1	0	0
l120	.	i108	.	i174	0.01	7.95	570	1	0	0
l121	.	i109	.	i173	0.01	8.26	558	1	0	0
l122	.	i110	.	i125	0.01	55.07	3949	1	0	0
l123	.	i111	.	i136	0.01	177.3	2243	1	0	0
l124	.	i111	.	i136	0.01	217.86	3031	1	0	0
l125	.	i111	.	i148	0.01	46.66	2243	1	0	0
l126	.	i111	.	i166	0.01	2857.14	4625	1	0	0
l127	.	i111	.	i167	0.01	3333.33	4625	1	0	0
l128	.	i111	.	i176	0.01	160.26	3031	1	0	0
l129	.	i112	.	i194	0.01	29.85	430	1	0	0
l130	.	i113	.	i200	0.01	277.78	506	1	0	0
l131	.	i114	.	i142	0.01	47.6	4183	1	0	0
l132	.	i114	.	i157	0.01	128.04	2512	1	0	0
l133	.	i115	.	i134	0.01	37.86	522	1	0	0
l134	.	i115	.	i188	0.01	15.59	522	1	0	0
l135	.	i116	.	i138	0.01	19.58	426	1	0	0
l136	.	i116	.	i138	0.01	21.05	426	1	0	0
l137	.	i118	.	i158	0.01	11.33	627	1	0	0
l138	.	i119	.	i159	0.01	11.33	627	1	0	0
l139	.	i120	.	i121	0.01	3333.33	996	1	0	0
l140	.	i120	.	i174	0.01	20.76	426	1	0	0
l141	.	i121	.	i174	0.01	20.37	426	1	0	0
l142	.	i122	.	i124	0.01	146.63	3274	1	0	0
l143	.	i122	.	i145	0.01	34.7	2512	1	0	0
l144	.	i123	.	i147	0.01	4.99	333	1	0	0
l145	.	i124	.	i156	0.01	79.68	2598	1	0	0
l146	.	i124	.	i156	0.01	79.68	2598	1	0	0
l147	.	i125	.	i124	0.01	3333.33	3949	1	0	0
l148	.	i127	.	i145	0.01	52.85	2962	1	0	0
l149	.	i127	.	i145	0.01	41.89	2061	1	0	0
l150	.	i127	.	i199	0.01	209.21	2598	1	0	0
l151	.	i127	.	i199	0.01	204.92	2598	1	0	0
l152	.	i128	.	i152	0.01	355.87	3031	1	0	0
l153	.	i128	.	i156	0.01	94.7	2728	1	0	0
l154	.	i130	.	i151	0.01	10.74	426	1	0	0
l155	.	i130	.	i233	0.01	21.52	478	1	0	0
l156	.	i131	.	i130	0.01	21.49	426	1	0	0
l157	.	i132	.	i161	0.01	45.05	1732	1	0	0
l158	.	i132	.	i161	0.01	45.05	1732	1	0	0
l159	.	i133	.	i139	0.01	135.87	3533	1	0	0
l160	.	i135	.	i237	0.01	11.2	478	1	0	0
l161	.	i136	.	i142	0.01	32.74	2789	1	0	0
l162	.	i136	.	i157	0.01	138.89	3031	1	0	0
l163	.	i136	.	i175	0.01	299.4	3031	1	0	0
l164	.	i137	.	i221	0.01	33.44	375	1	0	0
l165	.	i140	.	i95	0.01	110.86	2338	1	0	0
l166	.	i140	.	i95	0.01	112.87	1559	1	0	0
l167	.	i140	.	i160	0.01	131.93	2338	1	0	0
l168	.	i141	.	i153	0.01	11.6	627	1	0	0
l169	.	i143	.	i154	0.01	8.48	759	1	0	0
l170	.	i144	.	i136	0.01	56.75	3334	1	0	0
l171	.	i144	.	i155	0.01	111.61	2789	1	0	0
l172	.	i146	.	i105	0.01	170.94	2788	1	0	0
l173	.	i146	.	i150	0.01	398.41	3031	1	0	0
l174	.	i148	.	i163	0.01	193.42	3533	1	0	0
l175	.	i148	.	i176	0.01	46.73	3031	1	0	0
l176	.	i150	.	i152	0.01	62.89	2512	1	0	0
l177	.	i152	.	i156	0.01	109.17	2728	1	0	0
l178	.	i152	.	i156	0.01	43.1	2243	1	0	0
l179	.	i152	.	i156	0.01	49.9	2061	1	0	0
l180	.	i156	.	i164	0.01	72.57	3949	1	0	0
l181	.	i166	.	i167	0.01	3333.33	3464	1	0	0
l182	.	i168	.	i169	0.01	3333.33	1594	1	0	0
l183	.	i170	.	i149	0.01	28.43	570	1	0	0
l184	.	i170	.	i168	0.01	196.46	1386	1	0	0
l185	.	i170	.	i171	0.01	3333.33	1195	1	0	0
l186	.	i171	.	i117	0.01	5.73	347	1	0	0
l187	.	i171	.	i172	0.01	105.82	1195	1	0	0
l188	.	i172	.	i169	0.01	202.43	1386	1	0	0
l189	.	i172	.	i180	0.01	10.67	416	1	0	0
l190	.	i175	.	i164	0.01	65.23	3031	1	0	0
l191	.	i176	.	i164	0.01	59.92	3031	1	0	0
l192	.	i177	.	i192	0.01	11.98	419	1	0	0
l193	.	i178	.	i181	0.01	6.86	313	1	0	0
l194	.	i179	.	i157	0.01	261.78	2169	1	0	0
l195	.	i182	.	i126	0.01	9.04	478	1	0	0
l196	.	i183	.	i187	0.01	38.17	308	1	0	0
l197	.	i185	.	i96	0.01	81.3	2338	1	0	0
l198	.	i185	.	i189	0.01	175.44	2699	1	0	0
l199	.	i186	.	i190	0.01	26.41	398	1	0	0
l200	.	i187	.	i188	0.01	20.15	402	1	0	0
l201	.	i190	.	i191	0.01	27.17	478	1	0	0
l202	.	i193	.	i162	0.01	5.35	478	1	0	0
l203	.	i195	.	i220	0.01	10.81	350	1	0	0
l204	.	i197	.	i165	0.01	350.88	397	1	0	0
l205	.	i198	.	i195	0.01	60.94	398	1	0	0
l206	.	i198	.	i196	0.01	24.21	455	1	0	0
l207	.	i203	.	i204	0.01	549.45	1046	1	0	0
l208	.	i203	.	i217	0.01	54.05	1046	1	0	0
l209	.	i204	.	i217	0.01	52.08	1046	1	0	0
l210	.	i205	.	i212	0.01	15.63	398	1	0	0
l211	.	i205	.	i212	0.01	15.63	398	1	0	0
l212	.	i205	.	i212	0.01	16.21	398	1	0	0
l213	.	i206	.	i203	0.01	50	1046	1	0	0
l214	.	i206	.	i204	0.01	54.05	1046	1	0	0
l215	.	i206	.	i279	0.01	95.79	892	1	0	0
l216	.	i206	.	i279	0.01	95.97	986	1	0	0
l217	.	i207	.	i218	0.01	59.99	3118	1	0	0
l218	.	i207	.	i280	0.01	82.1	3682	1	0	0
l219	.	i208	.	i209	0.01	220.26	495	1	0	0
l220	.	i208	.	i216	0.01	9.71	565	1	0	0
l221	.	i209	.	i289	0.01	90.01	420	1	0	0
l222	.	i211	.	i210	0.01	32.15	956	1	0	0
l223	.	i211	.	i286	0.01	421.94	2170	1	0	0
l224	.	i212	.	i219	0.01	37.12	633	1	0	0
l225	.	i213	.	i186	0.01	18.35	478	1	0	0
l226	.	i213	.	i212	0.01	17.96	493	1	0	0
l227	.	i214	.	i184	0.01	36.75	3118	1	0	0
l228	.	i215	.	i214	0.01	56.02	1732	1	0	0
l229	.	i217	.	i250	0.01	25.97	1076	1	0	0
l230	.	i218	.	i214	0.01	69.52	1500	1	0	0
l231	.	i218	.	i214	0.01	69.52	1500	1	0	0
l232	.	i218	.	i215	0.01	135.5	3118	1	0	0
l233	.	i222	.	i130	0.01	23.11	478	1	0	0
l234	.	i222	.	i131	0.01	1724.14	478	1	0	0
l235	.	i223	.	i227	0.01	38.97	3152	1	0	0
l236	.	i224	.	i227	0.01	38.97	3152	1	0	0
l237	.	i225	.	i241	0.01	12.68	478	1	0	0
l238	.	i226	.	i258	0.01	9.24	319	1	0	0
l239	.	i228	.	i231	0.01	13.96	478	1	0	0
l240	.	i229	.	i242	0.01	29.81	478	1	0	0
l241	.	i232	.	i235	0.01	8.41	478	1	0	0
l242	.	i233	.	i235	0.01	27.44	478	1	0	0
l243	.	i233	.	i237	0.01	26.07	478	1	0	0
l244	.	i234	.	i236	0.01	12.12	478	1	0	0
l245	.	i242	.	i228	0.01	171.23	478	1	0	0
l246	.	i245	.	i249	0.01	67.52	1076	1	0	0
l247	.	i251	.	i253	0.01	100.7	1076	1	0	0
l248	.	i251	.	i254	0.01	12.06	1076	1	0	0
l249	.	i251	.	i254	0.01	11.9	1076	1	0	0
l250	.	i253	.	i244	0.01	150.83	1195	1	0	0
l251	.	i254	.	i245	0.01	46.77	1076	1	0	0
l252	.	i254	.	i246	0.01	54.59	1076	1	0	0
l253	.	i255	.	i247	0.01	33.11	359	1	0	0
l254	.	i255	.	i252	0.01	20.51	359	1	0	0
l255	.	i259	.	i274	0.01	8.89	442	1	0	0
l256	.	i259	.	i276	0.01	12.92	442	1	0	0
l257	.	i260	.	i275	0.01	43.84	1331	1	0	0
l258	.	i260	.	i275	0.01	43.84	1331	1	0	0
l259	.	i260	.	i279	0.01	24.89	1331	1	0	0
l260	.	i260	.	i279	0.01	24.15	1331	1	0	0
l261	.	i262	.	i263	0.01	17.06	424	1	0	0
l262	.	i262	.	i272	0.01	17.7	327	1	0	0
l263	.	i264	.	i265	0.01	22.01	827	1	0	0
l264	.	i264	.	i267	0.01	18.8	327	1	0	0
l265	.	i264	.	i271	0.01	6.32	374	1	0	0
l266	.	i264	.	i274	0.01	16.86	442	1	0	0
l267	.	i265	.	i266	0.01	22.08	888	1	0	0
l268	.	i265	.	i284	0.01	416.67	927	1	0	0
l269	.	i265	.	i284	0.01	434.78	888	1	0	0
l270	.	i268	.	i274	0.01	8.95	408	1	0	0
l271	.	i269	.	i15	0.01	19.57	1026	1	0	0
l272	.	i270	.	i278	0.01	60.5	300	1	0	0
l273	.	i271	.	i276	0.01	13.64	273	1	0	0
l274	.	i271	.	i277	0.01	34.72	410	1	0	0
l275	.	i272	.	i297	0.01	57.54	421	1	0	0
l276	.	i273	.	i302	0.01	4.12	387	1	0	0
l277	.	i275	.	i279	0.01	14.73	1165	1	0	0
l278	.	i279	.	i211	0.01	18.68	892	1	0	0
l279	.	i279	.	i211	0.01	18.71	892	1	0	0
l280	.	i280	.	i215	0.01	76.98	1732	1	0	0
l281	.	i282	.	i284	0.01	12.14	888	1	0	0
l282	.	i287	.	i288	0.01	34.22	3682	1	0	0
l283	.	i290	.	i303	0.01	29.15	464	1	0	0
l284	.	i291	.	i292	0.01	10.96	439	1	0	0
l285	.	i292	.	i298	0.01	18.55	359	1	0	0
l286	.	i294	.	i296	0.01	52.42	320	1	0	0
l287	.	i295	.	i300	0.01	10.79	717	1	0	0
l288	.	i299	.	i261	0.01	19.4	896	1	0	0
l289	.	i299	.	i300	0.01	3333.33	896	1	0	0
l290	.	i301	.	i305	0.01	7.97	239	1	0	0
l291	.	i304	.	i308	0.01	17.5	398	1	0	0
l292	.	i306	.	i309	0.01	42.77	645	1	0	0
l293	.	i310	.	i311	0.01	15.2	438	1	0	0
l294	.	i38	.	i86	0.01	48.26	420	1	0	0
l295	.	i40	.	i37	0.01	62.9	1300	1	0	0
l296	.	i40	.	i37	0.01	74.73	1500	1	0	0
l297	.	i46	.	i45	0.01	55.71	650	1	0	0
l298	.	i55	.	i57	0.01	77.48	1120	1	0	0
l299	.	i55	.	i57	0.01	43.13	600	1	0	0
l300	.	i55	.	i57	0.01	78	1120	1	0	0
l301	.	i82	.	i81	0.01	43.07	300	1	0	0
l302	.	i85	.	i84	0.01	30.23	400	1	0	0
l303	.	i85	.	i84	0.01	30.23	400	1	0	0
l304	.	i85	.	i84	0.01	34.89	348	1	0	0
l305	.	i90	.	i89	0.01	42.92	460	1	0	0
l306	.	i111	.	i170	0.01	105.64	1280	1	0	0
l307	.	i111	.	i172	0.01	104.49	1252	1	0	0
l308	.	i118	.	i120	0.01	93.2	553	1	0	0
l309	.	i119	.	i121	0.01	102.15	704	1	0	0
l310	.	i122	.	i121	0.01	109.87	1317	1	0	0
l311	.	i132	.	i130	0.01	105.97	1029	1	0	0
l312	.	i134	.	i248	0.01	26.85	300	1	0	0
l313	.	i188	.	i140	0.01	54.4	650	1	0	0
l314	.	i206	.	i208	0.01	116.01	750	1	0	0
l315	.	i207	.	i206	0.01	122.41	1500	1	0	0
l316	.	i243	.	i244	0.01	19.57	300	1	0	0
l317	.	i280	.	i279	0.01	163.36	2000	1	0	0
l318	.	i281	.	i282	0.01	131.66	1575	1	0	0
l319	.	i281	.	i282	0.01	131.66	1575	1	0	0
l320	.	i281	.	i282	0.01	131.66	1575	1	0	0
l321	.	i285	.	i283	0.01	73.13	1500	1	0	0
l322	.	i286	.	i283	0.01	37.5	750	1	0	0
l323	.	i286	.	i283	0.01	37.5	750	1	0	0
l324	.	i306	.	i4	0.01	81.63	600	1	0	0
l325	.	i91	.	i79	0.01	22.55	1200	1	0	0
l326	.	i166	.	i87	0.01	8.46	1550	1	0	0
l327	.	i72	.	i74	0.01	57.47	2338	1	0	0
l328	.	i72	.	i74	0.01	57.47	2338	1	0	0
l329	.	i201	.	i202	0.01	38.51	3000	1	0	0
l330	.	i28	.	i312	0.01	217.39	640	1	0	0
l331	.	i92	.	i80	0.01	22.55	1200	1	0	0
l332	.	i167	.	i88	0.01	8.46	1550	1	0	0
l333	.	i55	.	i56	0.01	49.12	500	1	0	0
l334	.	i55	.	i56	0.01	49.12	500	1	0	0
l335	.	i257	.	i36	0.01	20	2873	1	0	0
l336	.	i110	.	i161	0.01	99.6	2962	1	0	0
l337	.	i132	.	i224	0.01	253.16	2780	1	0	0
l338	.	i132	.	i223	0.01	253.16	2780	1	0	0
l339	.	i280	.	i285	0.01	44.44	1992	1	0	0
l340	.	i281	.	i285	0.01	55.77	1992	1	0	0
l341	.	i227	.	i230	0.01	68.35	1732	1	0	0
l342	.	i227	.	i230	0.01	68.31	1732	1	0	0
l343	.	i160	.	i184	0.01	348.43	1500	1	0	0
l344	.	i232	.	i238	0.01	14.82	541	1	0	0
l345	.	i218	.	i256	0.01	105.82	2873	1	0	0
l346	.	i256	.	i257	0.01	66.98	2873	1	0	0
l347	.	i311	.	i304	0.01	12.32	398	1	0	0
l348	.	i238	.	i239	0.01	27.56	558	1	0	0
l349	.	i239	.	i240	0.01	53.91	541	1	0	0
l350	.	i1	.	i5	0.01	9.14	10000	1	0	0
l351	.	i2	.	i15	0.01	16.24	10000	1	0	0
l352	.	i4	.	i15	0.01	175.44	10000	1	0	0
l353	.	i4	.	i308	0.01	93.28	10000	1	0	0
l354	.	i5	.	i6	0.01	8.36	10000	1	0	0
l355	.	i7	.	i9	0.01	4.68	10000	1	0	0
l356	.	i7	.	i8	0.01	8.98	10000	1	0	0
l357	.	i8	.	i9	0.01	23.62	10000	1	0	0
l358	.	i11	.	i15	0.01	86.88	10000	1	0	0
l359	.	i12	.	i17	0.01	4.73	10000	1	0	0
l360	.	i12	.	i18	0.01	34.89	10000	1	0	0
l361	.	i13	.	i17	0.01	6.3	10000	1	0	0
l362	.	i13	.	i18	0.01	25.67	10000	1	0	0
l363	.	i14	.	i22	0.01	16.84	10000	1	0	0
l364	.	i14	.	i17	0.01	4.93	10000	1	0	0
l365	.	i14	.	i19	0.01	11.61	10000	1	0	0
l366	.	i14	.	i18	0.01	14.39	10000	1	0	0
l367	.	i15	.	i308	0.01	21.95	10000	1	0	0
l368	.	i17	.	i42	0.01	12.75	10000	1	0	0
l369	.	i17	.	i19	0.01	8.54	10000	1	0	0
l370	.	i17	.	i18	0.01	215.52	10000	1	0	0
l371	.	i18	.	i302	0.01	10.44	10000	1	0	0
l372	.	i18	.	i42	0.01	11.83	10000	1	0	0
l373	.	i18	.	i19	0.01	19.71	10000	1	0	0
l374	.	i19	.	i42	0.01	5.63	10000	1	0	0
l375	.	i19	.	i20	0.01	4.56	10000	1	0	0
l376	.	i19	.	i22	0.01	7.97	10000	1	0	0
l377	.	i20	.	i22	0.01	4.66	10000	1	0	0
l378	.	i23	.	i32	0.01	12.09	10000	1	0	0
l379	.	i23	.	i28	0.01	8.33	10000	1	0	0
l380	.	i24	.	i26	0.01	88.03	10000	1	0	0
l381	.	i24	.	i25	0.01	4.78	10000	1	0	0
l382	.	i24	.	i27	0.01	17.61	10000	1	0	0
l383	.	i24	.	i28	0.01	112.61	10000	1	0	0
l384	.	i24	.	i30	0.01	4.27	10000	1	0	0
l385	.	i25	.	i31	0.01	34.16	10000	1	0	0
l386	.	i25	.	i27	0.01	4.4	10000	1	0	0
l387	.	i25	.	i28	0.01	4.3	10000	1	0	0
l388	.	i26	.	i27	0.01	4.66	10000	1	0	0
l389	.	i27	.	i28	0.01	13.99	10000	1	0	0
l390	.	i27	.	i30	0.01	5.62	10000	1	0	0
l391	.	i28	.	i32	0.01	147.71	10000	1	0	0
l392	.	i28	.	i93	0.01	10.81	10000	1	0	0
l393	.	i30	.	i33	0.01	39.49	10000	1	0	0
l394	.	i32	.	i93	0.01	78.74	10000	1	0	0
l395	.	i32	.	i36	0.01	9.56	10000	1	0	0
l396	.	i33	.	i64	0.01	552.49	10000	1	0	0
l397	.	i37	.	i46	0.01	17.65	10000	1	0	0
l398	.	i39	.	i41	0.01	4.76	10000	1	0	0
l399	.	i48	.	i49	0.01	15.92	10000	1	0	0
l400	.	i51	.	i53	0.01	6.36	10000	1	0	0
l401	.	i57	.	i60	0.01	7.77	10000	1	0	0
l402	.	i57	.	i59	0.01	8.61	10000	1	0	0
l403	.	i59	.	i60	0.01	32.7	10000	1	0	0
l404	.	i59	.	i62	0.01	45.79	10000	1	0	0
l405	.	i60	.	i61	0.01	7.63	10000	1	0	0
l406	.	i60	.	i62	0.01	12.69	10000	1	0	0
l407	.	i61	.	i68	0.01	31.83	10000	1	0	0
l408	.	i64	.	i65	0.01	84.03	10000	1	0	0
l409	.	i66	.	i69	0.01	56.88	10000	1	0	0
l410	.	i66	.	i68	0.01	28.76	10000	1	0	0
l411	.	i66	.	i72	0.01	40.4	10000	1	0	0
l412	.	i66	.	i73	0.01	5.47	10000	1	0	0
l413	.	i66	.	i87	0.01	6.32	10000	1	0	0
l414	.	i66	.	i70	0.01	17.02	10000	1	0	0
l415	.	i68	.	i69	0.01	12.09	10000	1	0	0
l416	.	i68	.	i72	0.01	9.71	10000	1	0	0
l417	.	i68	.	i87	0.01	4.7	10000	1	0	0
l418	.	i69	.	i94	0.01	193.42	10000	1	0	0
l419	.	i69	.	i88	0.01	8.91	10000	1	0	0
l420	.	i69	.	i72	0.01	9.83	10000	1	0	0
l421	.	i69	.	i87	0.01	28.99	10000	1	0	0
l422	.	i72	.	i74	0.01	114.55	10000	1	0	0
l423	.	i72	.	i73	0.01	46.69	10000	1	0	0
l424	.	i76	.	i77	0.01	14.16	10000	1	0	0
l425	.	i78	.	i88	0.01	45.41	10000	1	0	0
l426	.	i78	.	i87	0.01	14.06	10000	1	0	0
l427	.	i82	.	i275	0.01	27.69	10000	1	0	0
l428	.	i82	.	i287	0.01	28.03	10000	1	0	0
l429	.	i87	.	i94	0.01	7.26	10000	1	0	0
l430	.	i87	.	i88	0.01	763.36	10000	1	0	0
l431	.	i87	.	i90	0.01	7.22	10000	1	0	0
l432	.	i88	.	i90	0.01	23.33	10000	1	0	0
l433	.	i88	.	i89	0.01	8.32	10000	1	0	0
l434	.	i95	.	i100	0.01	6.2	10000	1	0	0
l435	.	i95	.	i97	0.01	50.35	10000	1	0	0
l436	.	i95	.	i96	0.01	42.21	10000	1	0	0
l437	.	i96	.	i100	0.01	4.4	10000	1	0	0
l438	.	i96	.	i97	0.01	40.58	10000	1	0	0
l439	.	i97	.	i100	0.01	36.1	10000	1	0	0
l440	.	i98	.	i103	0.01	75.7	10000	1	0	0
l441	.	i98	.	i99	0.01	32.09	10000	1	0	0
l442	.	i99	.	i103	0.01	25.49	10000	1	0	0
l443	.	i100	.	i101	0.01	6.25	10000	1	0	0
l444	.	i100	.	i102	0.01	6.06	10000	1	0	0
l445	.	i104	.	i180	0.01	9.72	10000	1	0	0
l446	.	i104	.	i142	0.01	17.33	10000	1	0	0
l447	.	i104	.	i138	0.01	91.32	10000	1	0	0
l448	.	i104	.	i112	0.01	4.51	10000	1	0	0
l449	.	i104	.	i154	0.01	8.44	10000	1	0	0
l450	.	i104	.	i148	0.01	29.64	10000	1	0	0
l451	.	i106	.	i156	0.01	17.11	10000	1	0	0
l452	.	i106	.	i124	0.01	15.56	10000	1	0	0
l453	.	i106	.	i155	0.01	41.98	10000	1	0	0
l454	.	i106	.	i164	0.01	151.06	10000	1	0	0
l455	.	i106	.	i139	0.01	51.71	10000	1	0	0
l456	.	i108	.	i197	0.01	53.13	10000	1	0	0
l457	.	i108	.	i109	0.01	1086.96	10000	1	0	0
l458	.	i108	.	i110	0.01	34.99	10000	1	0	0
l459	.	i108	.	i113	0.01	12.26	10000	1	0	0
l460	.	i109	.	i197	0.01	32.99	10000	1	0	0
l461	.	i109	.	i135	0.01	6.85	10000	1	0	0
l462	.	i109	.	i110	0.01	71.58	10000	1	0	0
l463	.	i109	.	i113	0.01	9.64	10000	1	0	0
l464	.	i112	.	i138	0.01	4.26	10000	1	0	0
l465	.	i112	.	i163	0.01	23.16	10000	1	0	0
l466	.	i112	.	i154	0.01	17.42	10000	1	0	0
l467	.	i112	.	i148	0.01	7.59	10000	1	0	0
l468	.	i114	.	i181	0.01	6.32	10000	1	0	0
l469	.	i114	.	i160	0.01	18.42	10000	1	0	0
l470	.	i114	.	i185	0.01	9.96	10000	1	0	0
