Load	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36	s37	s38	s39	s40	s41	s42	s43	s44	s45	s46	s47	s48	s49	s50	s51	s52	s53	s54	s55	s56	s57	s58	s59	s60	s61	s62	s63	s64	s65	s66	s67	s68	s69	s70	s71	s72	s73	s74	s75	s76	s77	s78	s79	s80	s81	s82	s83	s84	s85	s86	s87	s88	s89	s90	s91	s92	s93	s94	s95	s96	s97	s98	s99	s100	s101	s102	s103
i11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i12	11.20	11.20	22.00	15.29	14.47	12.35	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	12.91	21.76	22.00	21.79	21.65	21.15	19.68	18.04	16.42	14.82	13.68	12.78	12.21	12.39	17.10	16.21	15.48	13.75	11.61	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.20	11.60	14.05	19.45	17.86	12.39	20.43	11.20	18.31	11.20	14.34	15.64	12.04	11.20	11.20	11.20	17.69	15.48	11.20	11.20	17.37	11.20	11.20	11.20	11.46	11.20	19.19	11.20	17.98	12.10	17.18	11.20	11.20	11.20	11.20	11.20	16.87	15.27	16.00	11.20	11.20	19.13	15.34	19.94	15.67	18.43	19.68	12.78	19.69	14.25	17.61	15.26	11.20
i13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i14	6.20	10.00	15.00	9.53	8.87	7.14	6.69	7.74	8.58	9.28	9.75	9.98	10.00	9.86	9.64	9.19	8.64	8.38	7.54	6.61	7.59	14.81	15.00	14.83	14.71	14.31	13.11	11.77	10.45	9.15	8.22	7.49	7.02	7.17	11.01	10.28	9.68	8.28	6.54	6.82	7.50	8.17	8.74	9.10	9.32	9.28	9.09	8.61	8.01	7.77	7.04	6.53	8.52	12.93	11.62	7.17	13.72	7.90	12.00	7.98	8.76	9.82	6.88	7.39	7.43	9.22	11.49	9.68	7.92	9.11	11.23	8.88	9.87	8.21	6.41	6.80	12.71	7.40	11.72	6.93	11.08	7.24	7.06	7.98	7.98	8.01	10.82	9.52	10.11	7.15	6.36	12.66	9.57	13.32	9.84	12.09	13.11	7.49	13.12	8.68	11.42	9.50	6.90
i15	8.20	15.00	12.00	9.64	9.35	8.60	9.08	10.96	12.46	13.71	14.55	14.97	15.00	14.75	14.35	13.55	12.57	12.11	10.60	8.93	8.80	11.92	12.00	11.93	11.88	11.70	11.19	10.61	10.04	9.47	9.07	8.76	8.55	8.62	10.28	9.96	9.70	9.10	8.35	9.30	10.53	11.72	12.75	13.40	13.78	13.71	13.37	12.52	11.44	11.01	9.70	8.34	9.20	11.10	10.54	8.62	11.45	11.23	10.70	11.39	9.31	9.76	8.49	10.32	10.39	13.60	10.48	9.70	11.27	13.41	10.37	12.99	14.77	11.80	8.29	9.27	11.01	10.35	10.59	8.51	10.31	10.05	9.74	11.39	11.39	11.44	10.19	9.63	9.89	9.90	8.48	10.99	9.66	11.27	9.77	10.74	11.19	8.76	11.19	9.27	10.45	9.63	9.45
i16	3.50	3.50	15.00	7.86	6.99	4.72	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	5.32	14.75	15.00	14.78	14.62	14.10	12.53	10.78	9.06	7.36	6.14	5.18	4.57	4.77	9.78	8.83	8.05	6.21	3.94	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.93	6.54	12.29	10.59	4.77	13.33	3.50	11.08	3.50	6.85	8.23	4.39	3.50	3.50	3.50	10.41	8.05	3.50	3.50	10.07	3.50	3.50	3.50	3.78	3.50	12.01	3.50	10.72	4.45	9.87	3.50	3.50	3.50	3.50	3.50	9.53	7.84	8.61	3.50	3.50	11.94	7.90	12.80	8.26	11.20	12.53	5.18	12.54	6.75	10.32	7.82	3.50
i17	9.00	9.00	20.00	13.17	12.33	10.17	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	10.74	19.76	20.00	19.79	19.64	19.14	17.64	15.96	14.32	12.69	11.52	10.61	10.02	10.21	15.01	14.10	13.36	11.59	9.42	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.00	9.41	11.90	17.41	15.78	10.21	18.41	9.00	16.25	9.00	12.20	13.52	9.85	9.00	9.00	9.00	15.61	13.36	9.00	9.00	15.29	9.00	9.00	9.00	9.27	9.00	17.14	9.00	15.90	9.91	15.09	9.00	9.00	9.00	9.00	9.00	14.77	13.15	13.89	9.00	9.00	17.07	13.21	17.90	13.55	16.37	17.64	10.61	17.65	12.11	15.52	13.13	9.00
i18	3.20	10.00	3.20	3.20	3.20	3.20	4.08	5.96	7.46	8.71	9.55	9.97	10.00	9.75	9.35	8.55	7.57	7.11	5.60	3.93	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	4.30	5.53	6.72	7.75	8.40	8.78	8.71	8.37	7.52	6.44	6.01	4.70	3.20	3.20	3.20	3.20	3.20	3.20	6.23	3.20	6.39	3.20	3.20	3.20	5.32	5.39	8.60	3.20	3.20	6.27	8.41	3.20	7.99	9.77	6.80	3.20	4.27	3.20	5.35	3.20	3.20	3.20	5.05	4.74	6.39	6.39	6.44	3.20	3.20	3.20	4.90	3.48	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	4.45
i19	9.50	10.00	9.50	9.50	9.50	9.50	9.56	9.70	9.81	9.90	9.97	10.00	10.00	9.98	9.95	9.89	9.82	9.79	9.68	9.55	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.58	9.67	9.76	9.83	9.88	9.91	9.91	9.88	9.82	9.74	9.71	9.61	9.50	9.50	9.50	9.50	9.50	9.50	9.72	9.50	9.73	9.50	9.50	9.50	9.66	9.66	9.90	9.50	9.50	9.73	9.88	9.50	9.85	9.98	9.76	9.50	9.58	9.50	9.66	9.50	9.50	9.50	9.64	9.61	9.73	9.73	9.74	9.50	9.50	9.50	9.62	9.52	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.50	9.59
i20	2.20	2.20	7.00	4.02	3.65	2.71	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.96	6.89	7.00	6.91	6.84	6.62	5.97	5.24	4.52	3.81	3.30	2.90	2.65	2.73	4.82	4.42	4.10	3.33	2.38	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.20	2.38	3.47	5.87	5.16	2.73	6.30	2.20	5.36	2.20	3.60	4.17	2.57	2.20	2.20	2.20	5.09	4.10	2.20	2.20	4.94	2.20	2.20	2.20	2.32	2.20	5.75	2.20	5.21	2.60	4.86	2.20	2.20	2.20	2.20	2.20	4.72	4.01	4.33	2.20	2.20	5.72	4.04	6.08	4.18	5.41	5.97	2.90	5.97	3.56	5.05	4.00	2.20
i21	17.50	20.00	15.00	16.55	16.74	17.23	17.82	18.52	19.06	19.52	19.83	19.99	20.00	19.91	19.76	19.47	19.11	18.94	18.38	17.77	17.10	15.06	15.00	15.05	15.08	15.20	15.54	15.92	16.29	16.66	16.93	17.13	17.27	17.22	16.13	16.34	16.51	16.91	17.40	17.91	18.36	18.80	19.17	19.41	19.55	19.53	19.40	19.09	18.69	18.53	18.05	17.41	16.84	15.59	15.96	17.22	15.36	18.62	15.85	18.67	16.77	16.47	17.31	18.28	18.31	19.49	16.00	16.51	18.63	19.42	16.07	19.26	19.92	18.82	17.44	17.89	15.65	18.29	15.93	17.29	16.11	18.18	18.07	18.67	18.67	18.69	16.19	16.56	16.39	18.12	17.60	15.67	16.54	15.48	16.47	15.83	15.54	17.13	15.53	16.79	16.02	16.56	17.96
i22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i23	3.20	15.00	3.20	3.20	3.20	3.20	4.73	7.99	10.58	12.75	14.22	14.95	15.00	14.57	13.88	12.48	10.79	9.98	7.37	4.46	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	5.11	7.25	9.31	11.09	12.22	12.89	12.77	12.17	10.69	8.82	8.08	5.79	3.20	3.20	3.20	3.20	3.20	3.20	8.46	3.20	8.73	3.20	3.20	3.20	6.89	7.01	12.58	3.20	3.20	8.53	12.24	3.20	11.51	14.61	9.44	3.20	5.05	3.20	6.93	3.20	3.20	3.20	6.42	5.87	8.73	8.74	8.82	3.20	3.20	3.20	6.15	3.69	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	3.20	5.36
i24	8.70	20.00	8.70	8.70	8.70	8.70	10.17	13.29	15.77	17.85	19.25	19.95	20.00	19.58	18.92	17.59	15.97	15.20	12.69	9.91	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	10.53	12.58	14.55	16.26	17.33	17.98	17.86	17.29	15.87	14.08	13.38	11.18	8.70	8.70	8.70	8.70	8.70	8.70	13.74	8.70	13.99	8.70	8.70	8.70	12.23	12.35	17.68	8.70	8.70	13.81	17.36	8.70	16.66	19.62	14.67	8.70	10.48	8.70	12.28	8.70	8.70	8.70	11.78	11.26	13.99	14.01	14.08	8.70	8.70	8.70	11.52	9.17	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	8.70	10.77
i25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i26	3.50	20.00	3.50	3.50	3.50	3.50	5.64	10.20	13.82	16.86	18.91	19.93	20.00	19.39	18.43	16.48	14.11	12.99	9.33	5.26	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	6.18	9.17	12.05	14.53	16.11	17.05	16.88	16.04	13.97	11.35	10.33	7.13	3.50	3.50	3.50	3.50	3.50	3.50	10.86	3.50	11.23	3.50	3.50	3.50	8.65	8.82	16.61	3.50	3.50	10.96	16.14	3.50	15.12	19.45	12.22	3.50	6.09	3.50	8.72	3.50	3.50	3.50	8.00	7.24	11.23	11.25	11.36	3.50	3.50	3.50	7.62	4.18	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	3.50	6.52
i27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
i29	2.40	15.00	2.40	2.40	2.40	2.40	4.03	7.52	10.28	12.60	14.17	14.95	15.00	14.54	13.80	12.31	10.50	9.64	6.85	3.75	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	4.44	6.73	8.93	10.83	12.03	12.75	12.62	11.98	10.40	8.40	7.61	5.17	2.40	2.40	2.40	2.40	2.40	2.40	8.02	2.40	8.30	2.40	2.40	2.40	6.34	6.46	12.41	2.40	2.40	8.09	12.06	2.40	11.27	14.58	9.06	2.40	4.38	2.40	6.39	2.40	2.40	2.40	5.84	5.26	8.30	8.32	8.40	2.40	2.40	2.40	5.55	2.92	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	2.40	4.71
i30	10.60	20.00	1.60	7.19	7.87	9.64	11.82	14.42	16.48	18.21	19.38	19.96	20.00	19.65	19.10	17.99	16.64	16.00	13.92	11.60	9.17	1.80	1.60	1.77	1.90	2.31	3.53	4.90	6.25	7.58	8.54	9.28	9.76	9.61	5.68	6.43	7.04	8.48	10.25	12.13	13.83	15.47	16.89	17.78	18.32	18.22	17.75	16.57	15.07	14.49	12.67	10.27	8.22	3.72	5.05	9.61	2.90	14.79	4.67	15.00	7.98	6.90	9.90	13.54	13.63	18.07	5.19	7.04	14.85	17.80	5.46	17.22	19.69	15.57	10.38	12.08	3.94	13.58	4.95	9.85	5.61	13.16	12.73	15.00	15.01	15.08	5.88	7.20	6.60	12.95	10.99	4.00	7.15	3.32	6.88	4.57	3.53	9.28	3.53	8.06	5.26	7.22	12.32
