line	From	To	R	X	pmax	cand	built	cost
l129	12	26	0.3931	1.3121	32	1	0	42.51
l130	12	27	0.0292	0.7537	32	1	0	6.12
l131	12	29	0.2491	1.1691	32	1	0	28.11
l132	12	30	0.3495	1.3565	32	1	0	38.15
l133	14	16	0.2178	0.4548	32	1	0	24.98
l134	14	17	0.1679	0.6472	32	1	0	19.99
l135	14	18	0.2969	0.4184	32	1	0	32.89
l136	14	19	0.2632	0.5477	32	1	0	29.52
l137	14	20	0.2291	0.6158	32	1	0	26.11
l138	14	21	0.1703	0.8068	32	1	0	20.23
l139	14	22	0.182	0.8305	32	1	0	21.4
l140	14	23	0.2896	0.4019	32	1	0	32.16
l141	14	24	0.2971	0.672	32	1	0	32.91
l142	14	25	0.2618	1.0013	32	1	0	29.38
l143	14	26	0.5163	1.3814	32	1	0	54.83
l144	14	27	0.1524	1.0097	32	1	0	18.44
l145	14	29	0.3723	1.4251	32	1	0	40.43
l146	14	30	0.4727	1.6125	32	1	0	50.47
l147	15	16	0.1609	0.3293	32	1	0	19.29
l148	15	17	0.111	0.5217	32	1	0	14.3
l149	15	19	0.1714	0.3479	32	1	0	20.34
l150	15	20	0.1722	0.416	32	1	0	20.42
l151	15	21	0.1134	0.675	32	1	0	14.54
l152	15	22	0.1251	0.6513	32	1	0	15.71
l153	15	24	0.2322	0.4722	32	1	0	26.42
l154	15	25	0.2049	0.8015	32	1	0	23.69
l155	15	26	0.4594	1.1816	32	1	0	49.14
l156	15	27	0.0955	0.8842	32	1	0	12.75
l157	15	29	0.3154	1.2996	32	1	0	34.74
l158	15	30	0.4158	1.487	32	1	0	44.78
l159	16	18	0.2683	0.5479	32	1	0	30.03
l160	16	19	0.2128	0.5542	32	1	0	24.48
l161	16	20	0.1787	0.4861	32	1	0	21.07
l162	16	21	0.1199	0.352	32	1	0	15.19
l163	16	22	0.1316	0.3757	32	1	0	16.36
l164	16	23	0.261	0.5314	32	1	0	29.3
l165	16	24	0.2467	0.5548	32	1	0	27.87
l166	16	25	0.2116	0.8841	32	1	0	24.36
l167	16	26	0.4661	1.2642	32	1	0	49.81
l168	16	27	0.1022	0.9525	32	1	0	13.42
l169	16	29	0.3221	1.3679	32	1	0	35.41
l170	16	30	0.4225	1.5553	32	1	0	45.45
l171	17	18	0.2184	0.4911	32	1	0	25.04
l172	17	19	0.1603	0.3618	32	1	0	19.23
l173	17	20	0.1262	0.2937	32	1	0	15.82
l174	17	21	0.0674	0.1596	32	1	0	9.94
l175	17	22	0.0791	0.1833	32	1	0	11.11
l176	17	23	0.2111	0.6325	32	1	0	24.31
l177	17	24	0.1942	0.3624	32	1	0	22.62
l178	17	25	0.1591	0.6917	32	1	0	19.11
l179	17	26	0.4136	1.0718	32	1	0	44.56
l180	17	27	0.0497	0.8589	32	1	0	8.17
l181	17	29	0.2696	1.2743	32	1	0	30.16
l182	17	30	0.37	1.4617	32	1	0	40.2
l183	18	20	0.0981	0.1974	32	1	0	13.01
l184	18	21	0.2208	0.4815	32	1	0	25.28
l185	18	22	0.2325	0.5052	32	1	0	26.45
l186	18	23	0.2075	0.4207	32	1	0	23.95
l187	18	24	0.3396	0.6843	32	1	0	37.16
l188	18	25	0.3123	1.0136	32	1	0	34.43
l189	18	26	0.5668	1.3937	32	1	0	59.88
l190	18	27	0.2029	1.1028	32	1	0	23.49
l191	18	29	0.4228	1.5182	32	1	0	45.48
l192	18	30	0.5232	1.7056	32	1	0	55.52
l193	19	21	0.1627	0.3522	32	1	0	19.47
l194	19	22	0.1744	0.3759	32	1	0	20.64
l195	19	23	0.2715	0.55	32	1	0	30.35
l196	19	24	0.2895	0.555	32	1	0	32.15
l197	19	25	0.2544	0.8843	32	1	0	28.64
l198	19	26	0.5089	1.2644	32	1	0	54.09
l199	19	27	0.145	1.0515	32	1	0	17.7
l200	19	29	0.3649	1.4669	32	1	0	39.69
l201	19	30	0.4653	1.6543	32	1	0	49.73
l202	20	21	0.1286	0.2841	32	1	0	16.06
l203	20	22	0.1403	0.3078	32	1	0	17.23
l204	20	23	0.2723	0.6181	32	1	0	30.43
l205	20	24	0.2554	0.4869	32	1	0	28.74
l206	20	25	0.2203	0.8162	32	1	0	25.23
l207	20	26	0.4748	1.1963	32	1	0	50.68
l208	20	27	0.1109	0.9834	32	1	0	14.29
l209	20	29	0.3308	1.3988	32	1	0	36.28
l210	20	30	0.4312	1.5862	32	1	0	46.32
l211	21	23	0.2135	0.4729	32	1	0	24.55
l212	21	24	0.1268	0.2028	32	1	0	15.88
l213	21	25	0.1615	0.5321	32	1	0	19.35
l214	21	26	0.416	0.9122	32	1	0	44.8
l215	21	27	0.0521	0.7409	32	1	0	8.41
l216	21	29	0.272	1.1563	32	1	0	30.4
l217	21	30	0.3724	1.3437	32	1	0	40.44
l218	22	23	0.2252	0.4492	32	1	0	25.72
l219	22	25	0.1732	0.5084	32	1	0	20.52
l220	22	26	0.4277	0.8885	32	1	0	45.97
l221	22	27	0.0638	0.7172	32	1	0	9.58
l222	22	29	0.2837	1.1326	32	1	0	31.57
l223	22	30	0.3841	1.32	32	1	0	41.61
l224	23	25	0.305	0.5994	32	1	0	33.7
l225	23	26	0.5595	0.9795	32	1	0	59.15
l226	23	27	0.1956	0.8082	32	1	0	22.76
l227	23	29	0.4155	1.2236	32	1	0	44.75
l228	23	30	0.5159	1.411	32	1	0	54.79
l229	24	26	0.4431	0.7094	32	1	0	47.51
l230	24	27	0.1789	0.5381	32	1	0	21.09
l231	24	29	0.3988	0.9535	32	1	0	43.08
l232	24	30	0.4992	1.1409	32	1	0	53.12
l233	25	29	0.3293	0.6242	32	1	0	36.13
l234	25	30	0.4297	0.8116	32	1	0	46.17
l235	26	27	0.3639	0.5889	32	1	0	39.59
l236	26	29	0.5838	1.0043	32	1	0	61.58
l237	26	30	0.6842	1.1917	32	1	0	71.62

