line	From	To	R	X	pmax	cand	built
l177	17	24	0.1942	0.3624	32	1	0
l178	17	25	0.1591	0.6917	32	1	0
l179	17	26	0.4136	1.0718	32	1	0
l180	17	27	0.0497	0.8589	32	1	0
l181	17	29	0.2696	1.2743	32	1	0
l182	17	30	0.37	1.4617	32	1	0
l183	18	20	0.0981	0.1974	32	1	0
l184	18	21	0.2208	0.4815	32	1	0
l185	18	22	0.2325	0.5052	32	1	0
l186	18	23	0.2075	0.4207	32	1	0
l187	18	24	0.3396	0.6843	32	1	0
l188	18	25	0.3123	1.0136	32	1	0
l189	18	26	0.5668	1.3937	32	1	0
l190	18	27	0.2029	1.1028	32	1	0
l191	18	29	0.4228	1.5182	32	1	0
l192	18	30	0.5232	1.7056	32	1	0
l193	19	21	0.1627	0.3522	32	1	0
l194	19	22	0.1744	0.3759	32	1	0
l195	19	23	0.2715	0.55	32	1	0
l196	19	24	0.2895	0.555	32	1	0
l197	19	25	0.2544	0.8843	32	1	0
l198	19	26	0.5089	1.2644	32	1	0
l199	19	27	0.145	1.0515	32	1	0
l200	19	29	0.3649	1.4669	32	1	0
l201	19	30	0.4653	1.6543	32	1	0
l202	20	21	0.1286	0.2841	32	1	0
l203	20	22	0.1403	0.3078	32	1	0
l204	20	23	0.2723	0.6181	32	1	0
l205	20	24	0.2554	0.4869	32	1	0
l206	20	25	0.2203	0.8162	32	1	0
l207	20	26	0.4748	1.1963	32	1	0
l208	20	27	0.1109	0.9834	32	1	0
l209	20	29	0.3308	1.3988	32	1	0
l210	20	30	0.4312	1.5862	32	1	0
l211	21	23	0.2135	0.4729	32	1	0
l212	21	24	0.1268	0.2028	32	1	0
l213	21	25	0.1615	0.5321	32	1	0
l214	21	26	0.416	0.9122	32	1	0
l215	21	27	0.0521	0.7409	32	1	0
l216	21	29	0.272	1.1563	32	1	0
l217	21	30	0.3724	1.3437	32	1	0
l218	22	23	0.2252	0.4492	32	1	0
l219	22	25	0.1732	0.5084	32	1	0
l220	22	26	0.4277	0.8885	32	1	0
l221	22	27	0.0638	0.7172	32	1	0
l222	22	29	0.2837	1.1326	32	1	0
l223	22	30	0.3841	1.32	32	1	0
l224	23	25	0.305	0.5994	32	1	0
l225	23	26	0.5595	0.9795	32	1	0
l226	23	27	0.1956	0.8082	32	1	0
l227	23	29	0.4155	1.2236	32	1	0
l228	23	30	0.5159	1.411	32	1	0
l229	24	26	0.4431	0.7094	32	1	0
l230	24	27	0.1789	0.5381	32	1	0
l231	24	29	0.3988	0.9535	32	1	0
l232	24	30	0.4992	1.1409	32	1	0
l233	25	29	0.3293	0.6242	32	1	0
l234	25	30	0.4297	0.8116	32	1	0
l235	26	27	0.3639	0.5889	32	1	0
l236	26	29	0.5838	1.0043	32	1	0
l237	26	30	0.6842	1.1917	32	1	0
